Feature,Coefficient
peggy,-2.0168769098921406
but,-1.9893421908282582
video,-1.9609218059366742
stefan,-1.7543440548958107
not,-1.751333730923816
pretty,-1.6300809031099293
force,-1.56876708523188
truth,-1.559577030451773
thank,-1.552865675752989
it,-1.4620200303340762
thank you,-1.4534676982547412
well,-1.4022717108919893
very,-1.3882705459411202
or,-1.384838993129689
for,-1.3652652764081548
did,-1.3488341014274143
come,-1.3308499990688725
i have,-1.3243212601980316
wow,-1.3161542716182992
put,-1.305894178864952
