Feature,Coefficient
fuck,3.470774138261389
shit,3.110906734478654
fucking,2.7246090114055446
stupid,2.628254326924755
thug,2.502927194525957
idiot,2.421086867243051
shoot,2.3245227525142895
ass,2.1053472496293146
over,2.0835864096956693
bitch,2.0765379584087515
idiots,1.9752760833667904
cnn,1.9631873389474401
white,1.958692783464523
dumb,1.8940632117596954
those,1.83759009881052
an,1.7979844137451406
run,1.7946583826520093
bullshit,1.7624757560760766
every,1.6917287946092459
a,1.630023426704816
